customer_id,age,annual_income,loan_amount,loan_purpose,credit_score,join_date,default_flag
10522,42.0,498053.35,36008.8,Education,643.03,2023-05-18,1
10738,47.0,1414845.15,853545.25,Business,733.24,2025-06-30,1
10741,18.0,507894.53,214788.13,Home,704.91,2020-08-04,0
10661,30.0,196165.0,43031.36,Other,615.17,2021-12-25,1
10412,24.0,1322359.57,420827.58,Home,705.74,2019-02-19,0
10679,46.0,623434.1,397870.08,Home,691.44,2020-09-11,1
10627,25.0,934181.31,232542.36,Business,726.01,2023-12-07,0
10514,26.0,502175.87,179724.99,Car,850.0,2018-01-27,1
10860,43.0,1171530.9,256992.61,Home,803.59,2019-01-12,0
10137,27.0,1271723.0,344300.92,Business,665.77,2022-07-30,0
10812,31.0,3601382.12,561618.18,Car,622.34,2022-10-15,0
10077,37.0,987035.05,328315.84,Car,850.0,2022-02-22,0
10637,45.0,408238.74,320966.08,Car,658.39,2025-09-24,1
10974,29.0,,105803.22,Other,797.64,2024-08-31,0
10939,39.0,949573.38,823123.23,Business,695.54,2018-12-29,0
10900,27.0,2334475.88,933745.18,Business,574.99,2023-05-09,1
10281,37.0,1037444.75,335313.25,Car,706.93,2021-06-09,0
10884,47.0,762058.54,333880.25,Home,687.69,2025-11-26,1
10762,37.0,311979.2,97959.95,Car,767.23,2020-03-02,0
10320,35.0,800827.31,303840.58,Home,705.42,2022-04-16,0
10550,29.0,1100790.86,821167.43,Car,703.71,2023-10-23,0
10175,39.0,769733.48,181442.89,Other,630.89,2021-04-09,1
10372,41.0,792397.11,288231.95,Business,,2023-07-21,0
10528,37.0,791007.45,1094332.1503226126,Home,804.72,2024-03-04,0
10211,42.0,396074.81,385860.68,Business,656.54,2018-01-15,1
10236,43.0,357681.29,25000.0,Business,738.9,2018-04-08,0
10102,31.0,719891.91,254312.16,Home,643.57,2025-10-27,1
10987,53.0,517457.59,358753.2,Other,589.71,2023-07-16,1
10903,36.0,680928.65,246004.16,Business,799.4,2023-12-17,1
10948,28.0,834175.99,343096.09,Business,627.96,2025-01-16,1
10347,20.0,856136.42,323443.56,Home,761.34,2022-09-19,0
10140,22.0,1149335.18,375709.09,Education,850.0,2023-09-22,0
10622,,930529.75,233111.65,Car,641.75,2025-02-20,1
10500,21.0,937226.78,651473.97,Business,708.29,2022-05-14,1
10371,36.0,373863.82,503268.51,Education,623.51,2025-04-11,0
10199,37.0,465383.88,535310.07,Car,704.52,2020-06-11,1
10688,32.0,738816.67,291227.09,Business,736.79,2021-12-22,1
10585,38.0,655450.63,422624.16,Home,686.95,2023-11-16,0
10902,32.0,858111.43,207773.19,Home,591.47,2022-08-30,1
10060,47.0,,202871.66,Home,613.55,2018-06-04,1
10329,43.0,589407.34,433562.7,Business,745.93,2019-06-26,0
10097,39.0,1229830.87,615035.27,Education,534.84,2018-11-19,1
10313,45.0,197087.89,203368.35,Car,607.75,2022-08-08,1
10975,31.0,755310.0,356870.95,Car,620.9,2019-11-12,1
10300,43.0,270387.63,95933.02,Home,767.19,2024-10-08,0
